Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","TantalC_SizeC_Reflow",19.3192,8.1280,180.0000,bottom
"C2","220pF","SMD-0805",15.6845,21.8440,180.0000,bottom
"C4","10uF","SMD-0805",30.9245,15.2400,0.0000,bottom
"C7","10uF","SMD-0805",29.0195,30.9880,0.0000,bottom
"C8","10uF","SMD-0805",24.3205,22.3520,180.0000,bottom
"C9","10uF","SMD-0805",16.8275,12.1920,180.0000,bottom
"C12","100nF","SMD-0805",29.0195,33.5280,0.0000,bottom
"C13","100nF","SMD-0805",24.3205,24.3840,180.0000,bottom
"C14","100nF","SMD-0805",16.7005,14.7320,180.0000,bottom
"C19","100pF FILM,PPS","SMD-0805",25.9715,27.4320,0.0000,bottom
"D1","M4","Diode-SMA_Standard",26.4160,10.1600,-90.0000,bottom
"M5","HOLE","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",25.4000,20.8280,0.0000,bottom
"R1","10R","SMD-0805",32.0040,30.9245,90.0000,bottom
"R3","100","SMD-0805",29.4640,27.8765,-90.0000,bottom
"R4","100","SMD-0805",25.9080,19.2405,-90.0000,bottom
"R5","100","SMD-0805",20.7645,12.1920,0.0000,bottom
"R12","1k","SMD-0805",15.6845,24.3840,180.0000,bottom
"R13","100R","SMD-0805",21.9075,17.7800,180.0000,bottom
"U1","TS3021ILT","SOT-23-5_HandSoldering",20.3200,27.9400,0.0000,bottom
"U2","AD8691","TSOT-23-5_HandSoldering",25.3340,31.8180,90.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",15.7480,18.2880,0.0000,bottom
